Table.Folder.Placemark.ExtendedData.SchemaData.SimpleData.Element:Text,Table.Folder.Placemark.ExtendedData.SchemaData.SimpleData.Attribute:name,long,lat
Preparatoria 1,NOMBRE,-99.12080,19.27337
DIF Xochimilco,NOMBRE,-99.11766,19.27819
El Caminero,NOMBRE,-99.16908,19.27931
La Joya,NOMBRE,-99.16999,19.28032
Circuito Cuemanco,NOMBRE,-99.11669,19.28141
Santa Úrsula,NOMBRE,-99.17530,19.28326
Muyuguarda,NOMBRE,-99.11554,19.28506
Fuentes Brotantes,NOMBRE,-99.17460,19.28810
Ayuntamiento,NOMBRE,-99.17754,19.29260
Corregidora,NOMBRE,-99.18103,19.29407
Cañaverales,NOMBRE,-99.11447,19.29555
Villa Olímpica,NOMBRE,-99.18551,19.29909
Calzada del Hueso,NOMBRE,-99.11335,19.30157
Perisur,NOMBRE,-99.18613,19.30411
Vista Hermosa,NOMBRE,-99.11179,19.30681
Las Bombas,NOMBRE,-99.11067,19.31184
Centro Cultural Universitario,NOMBRE,-99.18753,19.31516
Tepetlapa,NOMBRE,-99.11163,19.31634
La Virgen,NOMBRE,-99.11362,19.32068
Ciudad Universitaria,NOMBRE,-99.18847,19.32295
Manuela Sáenz,NOMBRE,-99.11397,19.32421
ESIME Culhuacán,NOMBRE,-99.11354,19.32921
Cafetales,NOMBRE,-99.11315,19.33372
Calzada Tasqueña,NOMBRE,-99.11300,19.33876
Doctor Gálvez,NOMBRE,-99.19004,19.34071
Barrio San Antonio,NOMBRE,-99.11244,19.34313
La Bombilla,NOMBRE,-99.18773,19.34682
Pueblo de los Reyes,NOMBRE,-99.11134,19.34798
Altavista,NOMBRE,-99.18636,19.35090
Ganaderos,NOMBRE,-99.11092,19.35158
Olivo,NOMBRE,-99.18516,19.35463
Ermita Iztapalapa,NOMBRE,-99.11134,19.35663
Francia,NOMBRE,-99.18391,19.35848
Atanasio G. Saravia,NOMBRE,-99.11028,19.36126
José María Velasco,NOMBRE,-99.18285,19.36176
Teatro de los Insurgentes,NOMBRE,-99.18183,19.36493
Escuadrón 201,NOMBRE,-99.10919,19.36604
Río Churubusco,NOMBRE,-99.18057,19.36878
Pueblo Santa Cruz Atoyac,NOMBRE,-99.16101,19.37157
Churubusco Oriente,NOMBRE,-99.10786,19.37159
Félix Cuevas,NOMBRE,-99.17880,19.37425
Miguel Laurent,NOMBRE,-99.16023,19.37484
Aculco,NOMBRE,-99.10798,19.37488
Apatlaco,NOMBRE,-99.10907,19.37806
Parque Hundido,NOMBRE,-99.17707,19.37959
División del Norte,NOMBRE,-99.15874,19.38051
Ciudad de los Deportes,NOMBRE,-99.17614,19.38245
Canal Apatlaco,NOMBRE,-99.11089,19.38289
CCH Oriente,NOMBRE,-99.06079,19.38333
Leyes de Reforma,NOMBRE,-99.06582,19.38347
Del Moral,NOMBRE,-99.07092,19.38420
Rojo Gómez,NOMBRE,-99.07637,19.38451
General Antonio de León,NOMBRE,-99.05173,19.38538
Colonia del Valle,NOMBRE,-99.17509,19.38569
Eugenia,NOMBRE,-99.15723,19.38595
Colegio de Bachilleres 3,NOMBRE,-99.11166,19.38632
Río Mayo,NOMBRE,-99.08002,19.38696
Río Frío,NOMBRE,-99.07428,19.38763
Constitución de Apatzingán,NOMBRE,-99.05985,19.38903
Río Tecolutla,NOMBRE,-99.08315,19.38906
Nápoles,NOMBRE,-99.17379,19.38969
Oriente 116,NOMBRE,-99.11266,19.39026
Tepalcates,NOMBRE,-99.04761,19.39077
Luz Saviñón,NOMBRE,-99.15635,19.39159
El Rodeo,NOMBRE,-99.08708,19.39166
Polifórum,NOMBRE,-99.17263,19.39330
Las Américas,NOMBRE,-99.13435,19.39346
Nicolás Bravo,NOMBRE,-99.05093,19.39350
Recreo,NOMBRE,-99.11361,19.39385
UPIICSA,NOMBRE,-99.09039,19.39394
Xola,NOMBRE,-99.14025,19.39437
Álamos,NOMBRE,-99.14294,19.39475
Centro SCOP,NOMBRE,-99.14676,19.39525
Doctor Vértiz,NOMBRE,-99.15171,19.39561
Etiopía,NOMBRE,-99.15500,19.39584
Iztacalco,NOMBRE,-99.09596,19.39655
Canal de San Juan,NOMBRE,-99.05655,19.39671
Amores,NOMBRE,-99.16382,19.39688
Goma,NOMBRE,-99.10001,19.39689
Etiopía,NOMBRE,-99.15590,19.39700
Tlacotal,NOMBRE,-99.10391,19.39722
Andrés Molina,NOMBRE,-99.12970,19.39768
Canela,NOMBRE,-99.10934,19.39785
La Piedad,NOMBRE,-99.17111,19.39797
La Viga,NOMBRE,-99.12456,19.39806
Coyuya,NOMBRE,-99.11678,19.39828
Metro Coyuya,NOMBRE,-99.11347,19.39833
Metro Coyuya,NOMBRE,-99.11353,19.39939
Obrero Mundial,NOMBRE,-99.15560,19.40106
Viaducto,NOMBRE,-99.16809,19.40131
Tacubaya,NOMBRE,-99.18701,19.40199
Nuevo León,NOMBRE,-99.16978,19.40204
Nuevo León,NOMBRE,-99.17041,19.40350
Escandón,NOMBRE,-99.17383,19.40441
Antonio Maceo,NOMBRE,-99.18590,19.40487
Hospital General Troncoso,NOMBRE,-99.11357,19.40546
Patriotismo,NOMBRE,-99.17737,19.40557
Chilpancingo,NOMBRE,-99.16830,19.40658
Centro Médico,NOMBRE,-99.15513,19.40727
De la Salle,NOMBRE,-99.18351,19.40759
Parque Lira,NOMBRE,-99.18910,19.40779
Mixiuhca,NOMBRE,-99.11333,19.40787
Campeche,NOMBRE,-99.16727,19.40977
Doctor Márquez,NOMBRE,-99.15484,19.41111
Avenida del Taller,NOMBRE,-99.11278,19.41294
Sonora,NOMBRE,-99.16612,19.41327
Hospital General,NOMBRE,-99.15456,19.41444
Álvaro Obregón,NOMBRE,-99.16506,19.41655
Pantitlán,NOMBRE,-99.07345,19.41707
Venustiano Carranza,NOMBRE,-99.11222,19.41837
Durango,NOMBRE,-99.16406,19.41993
Jardín Pushkin,NOMBRE,-99.15408,19.42040
Calle 6,NOMBRE,-99.05840,19.42115
Terminal 2 - Aeropuerto,NOMBRE,-99.07725,19.42148
Mercado de Sonora,NOMBRE,-99.12392,19.42318
Mercado de Sonora,NOMBRE,-99.12341,19.42324
Insurgentes,NOMBRE,-99.16288,19.42372
Chapultepec,NOMBRE,-99.17429,19.42389
Gandhi,NOMBRE,-99.18044,19.42400
Antropología,NOMBRE,-99.18492,19.42469
Cuauhtémoc,NOMBRE,-99.15370,19.42496
Hospital Balbuena,NOMBRE,-99.11615,19.42510
La Diana,NOMBRE,-99.17165,19.42514
Cecilio Robelo,NOMBRE,-99.11987,19.42517
La Merced,NOMBRE,-99.12595,19.42545
Cecilio Robelo,NOMBRE,-99.11904,19.42548
Moctezuma,NOMBRE,-99.11147,19.42559
Auditorio,NOMBRE,-99.19420,19.42609
Las Cruces Sur,NOMBRE,-99.12992,19.42616
El Ángel,NOMBRE,-99.16858,19.42657
Pino Suárez,NOMBRE,-99.13278,19.42666
Campo Marte,NOMBRE,-99.19936,19.42689
Moctezuma,NOMBRE,-99.11198,19.42689
Eduardo Molina,NOMBRE,-99.11623,19.42718
Hamburgo,NOMBRE,-99.16124,19.42752
Balderas,NOMBRE,-99.14874,19.42807
La Palma,NOMBRE,-99.16497,19.42826
Circunvalación,NOMBRE,-99.12552,19.42834
Las Cruces Norte,NOMBRE,-99.12927,19.42870
Museo de la Ciudad,NOMBRE,-99.13280,19.42893
Museo de la Ciudad,NOMBRE,-99.13241,19.42914
Isabel La Católica,NOMBRE,-99.13701,19.42962
Hamburgo,NOMBRE,-99.16205,19.42964
Isabel La Católica,NOMBRE,-99.13659,19.42969
El Salvador,NOMBRE,-99.13854,19.42987
El Salvador,NOMBRE,-99.13942,19.43007
Eje Central Metrobús,NOMBRE,-99.14080,19.43030
Eje Central Metrobús,NOMBRE,-99.14193,19.43033
Mercados San Juan,NOMBRE,-99.14355,19.43061
Alameda Oriente,NOMBRE,-99.05327,19.43075
Mercados San Juan,NOMBRE,-99.14465,19.43077
San Lázaro,NOMBRE,-99.11528,19.43082
Terminal San Lázaro,NOMBRE,-99.11517,19.43091
Terminal San Lázaro,NOMBRE,-99.11543,19.43112
Reforma,NOMBRE,-99.15863,19.43125
Juárez,NOMBRE,-99.14774,19.43126
Juárez,NOMBRE,-99.14803,19.43129
Juárez,NOMBRE,-99.14839,19.43131
Vocacional 5,NOMBRE,-99.15022,19.43159
Vocacional 5,NOMBRE,-99.15095,19.43176
París,NOMBRE,-99.15597,19.43250
Reforma,NOMBRE,-99.15871,19.43290
Defensoría Pública,NOMBRE,-99.15063,19.43311
Defensoría Publica,NOMBRE,-99.15101,19.43336
Glorieta de Colón,NOMBRE,-99.15334,19.43376
Glorieta de Colón,NOMBRE,-99.15353,19.43416
Archivo General de la Nación,NOMBRE,-99.11462,19.43497
Glorieta de Colón,NOMBRE,-99.15337,19.43501
Terminal 1 - Aeropuerto,NOMBRE,-99.08367,19.43531
Archivo General de la Nación,NOMBRE,-99.11518,19.43536
El Caballito,NOMBRE,-99.14950,19.43559
Morelos,NOMBRE,-99.11825,19.43579
Morelos,NOMBRE,-99.11900,19.43581
Ferrocarril de Cintura,NOMBRE,-99.12161,19.43600
Hidalgo,NOMBRE,-99.14721,19.43601
Plaza de la República,NOMBRE,-99.15732,19.43605
Ferrocarril de Cintura,NOMBRE,-99.12081,19.43614
Mixcalco,NOMBRE,-99.12416,19.43632
Mixcalco,NOMBRE,-99.12341,19.43636
Bellas Artes,NOMBRE,-99.14172,19.43641
Bellas Artes,NOMBRE,-99.14182,19.43641
Teatro del Pueblo,NOMBRE,-99.12762,19.43677
Plaza de la República,NOMBRE,-99.15414,19.43680
Teatro del Pueblo,NOMBRE,-99.12704,19.43685
Plaza de la República,NOMBRE,-99.15398,19.43713
Archivo General de la Nación,NOMBRE,-99.11440,19.43717
Hidalgo,NOMBRE,-99.14621,19.43728
Hidalgo,NOMBRE,-99.14680,19.43729
Hidalgo,NOMBRE,-99.14615,19.43730
República de Argentina,NOMBRE,-99.13119,19.43736
República de Argentina,NOMBRE,-99.13200,19.43741
República de Chile,NOMBRE,-99.13503,19.43788
República de Chile,NOMBRE,-99.13590,19.43797
Museo San Carlos,NOMBRE,-99.15060,19.43823
Museo San Carlos,NOMBRE,-99.15078,19.43827
Teatro Blanquita,NOMBRE,-99.13909,19.43843
Teatro Blanquita,NOMBRE,-99.13997,19.43864
México Tenochtitlan,NOMBRE,-99.15346,19.43864
México Tenochtitlan,NOMBRE,-99.15327,19.43903
Revolución,NOMBRE,-99.15541,19.44035
Glorieta Violeta,NOMBRE,-99.14326,19.44048
Mina,NOMBRE,-99.14855,19.44058
Mercado Morelos,NOMBRE,-99.11344,19.44132
Delegación Cuauhtémoc,NOMBRE,-99.15245,19.44214
Delegación Cuauhtémoc,NOMBRE,-99.15242,19.44259
El Chopo,NOMBRE,-99.15441,19.44335
Garibaldi,NOMBRE,-99.13897,19.44439
Deportivo Eduardo Molina,NOMBRE,-99.11218,19.44470
Buenavista. Línea 4,NOMBRE,-99.15227,19.44486
Guerrero,NOMBRE,-99.14721,19.44603
Buenavista III,NOMBRE,-99.15200,19.44613
Buenavista,NOMBRE,-99.15313,19.44684
Glorieta Cuitláhuac,NOMBRE,-99.13563,19.44738
Canal del Norte,NOMBRE,-99.11036,19.44969
Tres Culturas,NOMBRE,-99.13283,19.45060
Ricardo Flores Magón,NOMBRE,-99.14590,19.45178
Peralvillo,NOMBRE,-99.13086,19.45312
Río Consulado,NOMBRE,-99.10845,19.45366
Tlatelolco,NOMBRE,-99.14505,19.45556
Río Santa Coleta,NOMBRE,-99.10749,19.45606
Manuel González,NOMBRE,-99.14939,19.45674
Mercado Beethoven,NOMBRE,-99.12913,19.45733
San Simón,NOMBRE,-99.14642,19.45963
Tolnahuác,NOMBRE,-99.14406,19.45989
Oriente 101,NOMBRE,-99.10549,19.46097
Misterios,NOMBRE,-99.12744,19.46175
Circuito,NOMBRE,-99.14401,19.46261
Circuito,NOMBRE,-99.14406,19.46329
Clave,NOMBRE,-99.12635,19.46465
Villa de Aragón,NOMBRE,-99.05952,19.46492
482,NOMBRE,-99.07553,19.46686
Francisco Morazán,NOMBRE,-99.06183,19.46705
La Raza,NOMBRE,-99.14095,19.46733
Victoria,NOMBRE,-99.10280,19.46734
Loreto Fabela,NOMBRE,-99.08098,19.46740
Robles Domínguez,NOMBRE,-99.12518,19.46776
Hospital La Raza,NOMBRE,-99.14385,19.46799
414,NOMBRE,-99.07160,19.46843
La Raza,NOMBRE,-99.13899,19.46870
Colegio de Bachilleres 9,NOMBRE,-99.06500,19.46980
Pueblo San Juan de Aragón,NOMBRE,-99.08636,19.47100
Talismán,NOMBRE,-99.10124,19.47102
416 Oriente,NOMBRE,-99.07091,19.47114
Héroe de Nacozari,NOMBRE,-99.14504,19.47116
Excélsior,NOMBRE,-99.12389,19.47119
416 Poniente,NOMBRE,-99.07938,19.47252
La Pradera,NOMBRE,-99.06867,19.47313
Cuitláhuac,NOMBRE,-99.14616,19.47415
Casas Alemán,NOMBRE,-99.08837,19.47432
Necaxa,NOMBRE,-99.12232,19.47538
Río de Guadalupe,NOMBRE,-99.09912,19.47603
Potrero,NOMBRE,-99.13247,19.47664
Volcán de Fuego,NOMBRE,-99.07252,19.47697
Gran Canal,NOMBRE,-99.09293,19.47709
Deportivo Los Galeana,NOMBRE,-99.07805,19.47846
Avenida Talismán,NOMBRE,-99.12108,19.47868
San Juan de Aragón,NOMBRE,-99.09717,19.47876
Ampliación Providencia,NOMBRE,-99.07530,19.47985
Coltongo,NOMBRE,-99.14833,19.47985
San Juan de Aragón,NOMBRE,-99.09751,19.47987
Hospital General La Villa,NOMBRE,-99.10119,19.48037
Martín Carrera,NOMBRE,-99.10534,19.48204
Eúzkaro,NOMBRE,-99.12763,19.48252
Garrido,NOMBRE,-99.11935,19.48325
Preparatoria 3,NOMBRE,-99.09601,19.48336
Delegación Gustavo A. Madero,NOMBRE,-99.11393,19.48355
Magdalena de las Salinas,NOMBRE,-99.14986,19.48388
Delegación Gustavo A. Madero,NOMBRE,-99.11234,19.48389
La Villa,NOMBRE,-99.11960,19.48543
Deportivo 18 de Marzo,NOMBRE,-99.12453,19.48629
Deportivo 18 de Marzo,NOMBRE,-99.12240,19.48660
De Los Misterios,NOMBRE,-99.11792,19.48699
De Los Misterios,NOMBRE,-99.11795,19.48721
Hospital Infantil La Villa,NOMBRE,-99.11378,19.48728
El Coyol,NOMBRE,-99.09418,19.48754
Hospital Infantil La Villa,NOMBRE,-99.11470,19.48804
Riobamba,NOMBRE,-99.12790,19.48865
Poniente 128,NOMBRE,-99.15196,19.48955
Instituto Politécnico Nacional,NOMBRE,-99.13265,19.49043
San Bartolo,NOMBRE,-99.13911,19.49196
Poniente 134,NOMBRE,-99.15317,19.49269
Indios Verdes,NOMBRE,-99.12101,19.49304
Instituto del Petróleo,NOMBRE,-99.14517,19.49315
Vasco de Quiroga,NOMBRE,-99.09178,19.49330
Lindavista-Vallejo,NOMBRE,-99.14804,19.49378
Montevideo,NOMBRE,-99.15306,19.49488
Montevideo,NOMBRE,-99.15446,19.49611
Norte 45,NOMBRE,-99.15975,19.49635
Indios Verdes,NOMBRE,-99.11972,19.49682
5 de Mayo,NOMBRE,-99.09018,19.49709
Norte 59,NOMBRE,-99.16555,19.49762
Poniente 146,NOMBRE,-99.15588,19.49999
314 Memorial New's Divine,NOMBRE,-99.08873,19.50061
Tecnoparque,NOMBRE,-99.17888,19.50247
La Patera,NOMBRE,-99.15727,19.50366
UAM Azcapotzalco,NOMBRE,-99.18399,19.50401
Ferrocarriles Nacionales,NOMBRE,-99.18860,19.50487
Río de Los Remedios,NOMBRE,-99.08593,19.50711
El Rosario,NOMBRE,-99.19955,19.50717
Júpiter,NOMBRE,-99.15924,19.50861
De Las Culturas,NOMBRE,-99.19261,19.51094
Colegio de Bachilleres 1,NOMBRE,-99.19731,19.51164
Tres Anegas,NOMBRE,-99.16193,19.51551
Progreso Nacional,NOMBRE,-99.16377,19.51969
San José de la Escalera,NOMBRE,-99.16556,19.52272
Tenayuca,NOMBRE,-99.17011,19.52862
