Table.Folder.Placemark.ExtendedData.SchemaData.SimpleData.Element:Text,long,lat
Xochimilco,-99.12080,19.27337
Xochimilco,-99.11766,19.27819
Tlalpan,-99.16908,19.27931
Tlalpan,-99.16999,19.28032
Xochimilco,-99.11669,19.28141
Tlalpan,-99.17530,19.28326
Xochimilco,-99.11554,19.28506
Tlalpan,-99.17460,19.28810
Tlalpan,-99.17754,19.29260
Tlalpan,-99.18103,19.29407
Tlalpan,-99.11447,19.29555
Tlalpan,-99.18551,19.29909
Coyoacán / Tlalpan,-99.11335,19.30157
Coyoacán,-99.18613,19.30411
Coyoacán,-99.11179,19.30681
Coyoacán,-99.11067,19.31184
Coyoacán,-99.18753,19.31516
Coyoacán,-99.11163,19.31634
Coyoacán,-99.11362,19.32068
Coyoacán,-99.18847,19.32295
Coyoacán,-99.11397,19.32421
Coyoacán,-99.11354,19.32921
Coyoacán,-99.11315,19.33372
Iztapalapa,-99.11300,19.33876
Álvaro Obregón,-99.19004,19.34071
Iztapalapa,-99.11244,19.34313
Álvaro Obregón,-99.18773,19.34682
Iztapalapa,-99.11134,19.34798
Álvaro Obregón,-99.18636,19.35090
Iztapalapa,-99.11092,19.35158
Álvaro Obregón,-99.18516,19.35463
Iztapalapa,-99.11134,19.35663
Álvaro Obregón,-99.18391,19.35848
Iztapalapa,-99.11028,19.36126
Benito Juárez / Álvaro Obregón,-99.18285,19.36176
Benito Juárez,-99.18183,19.36493
Iztapalapa,-99.10919,19.36604
Benito Juárez,-99.18057,19.36878
Benito Juárez,-99.16101,19.37157
Iztapalapa,-99.10786,19.37159
Benito Juárez,-99.17880,19.37425
Benito Juárez,-99.16023,19.37484
Iztapalapa,-99.10798,19.37488
Iztapalapa,-99.10907,19.37806
Benito Juárez,-99.17707,19.37959
Benito Juárez,-99.15874,19.38051
Benito Juárez,-99.17614,19.38245
Iztacalco,-99.11089,19.38289
Iztacalco / Iztapalapa,-99.06079,19.38333
Iztacalco / Iztapalapa,-99.06582,19.38347
Iztapalapa,-99.07092,19.38420
Iztapalapa,-99.07637,19.38451
Iztapalapa,-99.05173,19.38538
Benito Juárez,-99.17509,19.38569
Benito Juárez,-99.15723,19.38595
Iztacalco,-99.11166,19.38632
Iztapalapa,-99.08002,19.38696
Iztacalco / Iztapalapa,-99.07428,19.38763
Iztacalco / Iztapalapa,-99.05985,19.38903
Iztapalapa,-99.08315,19.38906
Benito Juárez,-99.17379,19.38969
Iztacalco,-99.11266,19.39026
Iztapalapa,-99.04761,19.39077
Benito Juárez,-99.15635,19.39159
Iztacalco,-99.08708,19.39166
Benito Juárez,-99.17263,19.39330
Benito Juárez,-99.13435,19.39346
Iztapalapa,-99.05093,19.39350
Iztacalco,-99.11361,19.39385
Iztacalco,-99.09039,19.39394
Benito Juárez,-99.14025,19.39437
Benito Juárez,-99.14294,19.39475
Benito Juárez,-99.14676,19.39525
Benito Juárez,-99.15171,19.39561
Benito Juárez,-99.15500,19.39584
Iztacalco,-99.09596,19.39655
Iztapalapa,-99.05655,19.39671
Benito Juárez,-99.16382,19.39688
Iztacalco,-99.10001,19.39689
Benito Juárez,-99.15590,19.39700
Iztacalco,-99.10391,19.39722
Iztacalco,-99.12970,19.39768
Iztacalco,-99.10934,19.39785
Benito Juárez,-99.17111,19.39797
Iztacalco,-99.12456,19.39806
Iztacalco,-99.11678,19.39828
Iztacalco,-99.11347,19.39833
Iztacalco,-99.11353,19.39939
Benito Juárez,-99.15560,19.40106
Cuauhtémoc / Benito Juárez,-99.16809,19.40131
Miguel Hidalgo,-99.18701,19.40199
Cuauhtémoc,-99.16978,19.40204
Cuauhtémoc / Miguel Hidalgo,-99.17041,19.40350
Cuauhtémoc / Miguel Hidalgo,-99.17383,19.40441
Miguel Hidalgo,-99.18590,19.40487
Venustiano Carranza / Iztacalco,-99.11357,19.40546
Cuauhtémoc / Miguel Hidalgo,-99.17737,19.40557
Cuauhtémoc,-99.16830,19.40658
Cuauhtémoc,-99.15513,19.40727
Cuauhtémoc / Miguel Hidalgo,-99.18351,19.40759
Miguel Hidalgo,-99.18910,19.40779
Venustiano Carranza,-99.11333,19.40787
Cuauhtémoc,-99.16727,19.40977
Cuauhtémoc,-99.15484,19.41111
Venustiano Carranza,-99.11278,19.41294
Cuauhtémoc,-99.16612,19.41327
Cuauhtémoc,-99.15456,19.41444
Cuauhtémoc,-99.16506,19.41655
Venustiano Carranza,-99.07345,19.41707
Venustiano Carranza,-99.11222,19.41837
Cuauhtémoc,-99.16406,19.41993
Cuauhtémoc,-99.15408,19.42040
Venustiano Carranza / Iztacalco,-99.05840,19.42115
Venustiano Carranza,-99.12392,19.42318
Venustiano Carranza,-99.12341,19.42324
Cuauhtémoc,-99.16288,19.42372
Cuauhtémoc,-99.17429,19.42389
Miguel Hidalgo,-99.18044,19.42400
Miguel Hidalgo,-99.18492,19.42469
Cuauhtémoc,-99.15370,19.42496
Venustiano Carranza,-99.11615,19.42510
Cuauhtémoc,-99.17165,19.42514
Venustiano Carranza,-99.11987,19.42517
Venustiano Carranza,-99.11904,19.42548
Venustiano Carranza,-99.11147,19.42559
Miguel Hidalgo,-99.19420,19.42609
Cuauhtémoc,-99.12992,19.42616
Cuauhtémoc,-99.16858,19.42657
Cuauhtémoc,-99.13278,19.42666
Miguel Hidalgo,-99.19936,19.42689
Venustiano Carranza,-99.11198,19.42689
Venustiano Carranza,-99.11623,19.42718
Cuauhtémoc,-99.16124,19.42752
Cuauhtémoc,-99.14874,19.42807
Cuauhtémoc,-99.16497,19.42826
Cuauhtémoc,-99.12552,19.42834
Cuauhtémoc,-99.12927,19.42870
Cuauhtémoc,-99.13280,19.42893
Cuauhtémoc,-99.13241,19.42914
Cuauhtémoc,-99.13701,19.42962
Cuauhtémoc,-99.16205,19.42964
Cuauhtémoc,-99.13659,19.42969
Cuauhtémoc,-99.13854,19.42987
Cuauhtémoc,-99.13942,19.43007
Venustiano Carranza / Estado de México - Nezahualcóyotl,-99.05327,19.43075
Venustiano Carranza,-99.11528,19.43082
Cuauhtémoc,-99.15863,19.43125
Cuauhtémoc,-99.14774,19.43126
Cuauhtémoc,-99.14803,19.43129
Cuauhtémoc,-99.14839,19.43131
Cuauhtémoc,-99.15022,19.43159
Cuauhtémoc,-99.15095,19.43176
Cuauhtémoc,-99.15597,19.43250
Cuauhtémoc,-99.15871,19.43290
Cuauhtémoc,-99.15334,19.43376
Cuauhtémoc,-99.15353,19.43416
Venustiano Carranza,-99.11462,19.43497
Cuauhtémoc,-99.15337,19.43501
Venustiano Carranza,-99.11518,19.43536
Cuauhtémoc,-99.14950,19.43559
Venustiano Carranza,-99.11825,19.43579
Venustiano Carranza,-99.11900,19.43581
Venustiano Carranza,-99.12161,19.43600
Cuauhtémoc,-99.14721,19.43601
Cuauhtémoc,-99.15732,19.43605
Venustiano Carranza,-99.12081,19.43614
Cuauhtémoc / Venustiano Carranza,-99.12416,19.43632
Cuauhtémoc / Venustiano Carranza,-99.12341,19.43636
Cuauhtémoc,-99.14172,19.43641
Cuauhtémoc,-99.14182,19.43641
Cuauhtémoc,-99.12762,19.43677
Cuauhtémoc,-99.15414,19.43680
Cuauhtémoc,-99.12704,19.43685
Cuauhtémoc,-99.15398,19.43713
Venustiano Carranza,-99.11440,19.43717
Cuauhtémoc,-99.14621,19.43728
Cuauhtémoc,-99.14680,19.43729
Cuauhtémoc,-99.14615,19.43730
Cuauhtémoc,-99.13119,19.43736
Cuauhtémoc,-99.13200,19.43741
Cuauhtémoc,-99.13503,19.43788
Cuauhtémoc,-99.13590,19.43797
Cuauhtémoc,-99.15060,19.43823
Cuauhtémoc,-99.15078,19.43827
Cuauhtémoc,-99.13909,19.43843
Cuauhtémoc,-99.13997,19.43864
Cuauhtémoc,-99.15541,19.44035
Cuauhtémoc,-99.14326,19.44048
Cuauhtémoc,-99.14855,19.44058
Venustiano Carranza,-99.11344,19.44132
Cuauhtémoc,-99.15245,19.44214
Cuauhtémoc,-99.15242,19.44259
Cuauhtémoc,-99.15441,19.44335
Cuauhtémoc,-99.13897,19.44439
Venustiano Carranza,-99.11218,19.44470
Cuauhtémoc,-99.15227,19.44486
Cuauhtémoc,-99.14721,19.44603
Cuauhtémoc,-99.15200,19.44613
Cuauhtémoc,-99.15313,19.44684
Cuauhtémoc,-99.13563,19.44738
Venustiano Carranza,-99.11036,19.44969
Cuauhtémoc,-99.13283,19.45060
Cuauhtémoc,-99.14590,19.45178
Cuauhtémoc,-99.13086,19.45312
Gustavo A. Madero,-99.10845,19.45366
Cuauhtémoc,-99.14505,19.45556
Gustavo A. Madero,-99.10749,19.45606
Cuauhtémoc,-99.14939,19.45674
Cuauhtémoc,-99.12913,19.45733
Cuauhtémoc,-99.14642,19.45963
Cuauhtémoc,-99.14406,19.45989
Gustavo A. Madero,-99.10549,19.46097
Gustavo A. Madero / Cuauhtémoc,-99.12744,19.46175
Cuauhtémoc,-99.14401,19.46261
Cuauhtémoc,-99.14406,19.46329
Gustavo A. Madero,-99.12635,19.46465
Gustavo A. Madero,-99.05952,19.46492
Gustavo A. Madero,-99.07553,19.46686
Gustavo A. Madero,-99.06183,19.46705
Gustavo A. Madero,-99.14095,19.46733
Gustavo A. Madero,-99.10280,19.46734
Gustavo A. Madero,-99.08098,19.46740
Gustavo A. Madero,-99.12518,19.46776
Gustavo A. Madero / Azcapotzalco,-99.14385,19.46799
Gustavo A. Madero,-99.07160,19.46843
Gustavo A. Madero,-99.13899,19.46870
Gustavo A. Madero,-99.06500,19.46980
Gustavo A. Madero,-99.08636,19.47100
Gustavo A. Madero,-99.10124,19.47102
Gustavo A. Madero,-99.07091,19.47114
Gustavo A. Madero / Azcapotzalco,-99.14504,19.47116
Gustavo A. Madero,-99.12389,19.47119
Gustavo A. Madero,-99.07938,19.47252
Gustavo A. Madero,-99.06867,19.47313
Gustavo A. Madero / Azcapotzalco,-99.14616,19.47415
Gustavo A. Madero,-99.08837,19.47432
Gustavo A. Madero,-99.12232,19.47538
Gustavo A. Madero,-99.09912,19.47603
Gustavo A. Madero,-99.13247,19.47664
Gustavo A. Madero,-99.07252,19.47697
Gustavo A. Madero,-99.09293,19.47709
Gustavo A. Madero,-99.07805,19.47846
Gustavo A. Madero,-99.12108,19.47868
Gustavo A. Madero,-99.09717,19.47876
Gustavo A. Madero,-99.07530,19.47985
Gustavo A. Madero / Azcapotzalco,-99.14833,19.47985
Gustavo A. Madero,-99.09751,19.47987
Gustavo A. Madero,-99.10119,19.48037
Gustavo A. Madero,-99.10534,19.48204
Gustavo A. Madero,-99.12763,19.48252
Gustavo A. Madero,-99.11935,19.48325
Gustavo A. Madero,-99.09601,19.48336
Gustavo A. Madero,-99.11393,19.48355
Gustavo A. Madero / Azcapotzalco,-99.14986,19.48388
Gustavo A. Madero,-99.11234,19.48389
Gustavo A. Madero,-99.11960,19.48543
Gustavo A. Madero,-99.12453,19.48629
Gustavo A. Madero,-99.12240,19.48660
Gustavo A. Madero,-99.11792,19.48699
Gustavo A. Madero,-99.11795,19.48721
Gustavo A. Madero,-99.11378,19.48728
Gustavo A. Madero,-99.09418,19.48754
Gustavo A. Madero,-99.11470,19.48804
Gustavo A. Madero,-99.12790,19.48865
Gustavo A. Madero / Azcapotzalco,-99.15196,19.48955
Gustavo A. Madero,-99.13265,19.49043
Gustavo A. Madero,-99.13911,19.49196
Gustavo A. Madero / Azcapotzalco,-99.15317,19.49269
Gustavo A. Madero,-99.12101,19.49304
Gustavo A. Madero,-99.14517,19.49315
Gustavo A. Madero,-99.09178,19.49330
Gustavo A. Madero,-99.14804,19.49378
Gustavo A. Madero / Azcapotzalco,-99.15306,19.49488
Gustavo A. Madero / Azcapotzalco,-99.15446,19.49611
Azcapotzalco,-99.15975,19.49635
Gustavo A. Madero,-99.11972,19.49682
Gustavo A. Madero,-99.09018,19.49709
Azcapotzalco,-99.16555,19.49762
Gustavo A. Madero / Azcapotzalco,-99.15588,19.49999
Gustavo A. Madero,-99.08873,19.50061
Azcapotzalco,-99.17888,19.50247
Gustavo A. Madero / Estado de México - Tlalnepantla,-99.15727,19.50366
Azcapotzalco,-99.18399,19.50401
Azcapotzalco,-99.18860,19.50487
Gustavo A. Madero / Estado de México - Ecatepec,-99.08593,19.50711
Azcapotzalco,-99.19955,19.50717
Gustavo A. Madero / Estado de México - Tlalnepantla,-99.15924,19.50861
Azcapotzalco / Estado de México - Tlalnepantla,-99.19261,19.51094
Azcapotzalco,-99.19731,19.51164
Gustavo A. Madero,-99.16193,19.51551
Gustavo A. Madero,-99.16377,19.51969
Gustavo A. Madero,-99.16556,19.52272
Gustavo A. Madero,-99.17011,19.52862
